index,gender,spouse,age,nfamily,edu,debt,equity,dep
310,2,3,G5,1,2,0,Q2,1
311,1,2,G3,4,4,6000,Q4,1
312,2,4,G3,1,4,26020,Q5,1
313,1,2,G2,2,7,30,Q2,1
314,2,2,G5,2,7,7000,Q4,1
315,1,2,G4,4,6,40440,Q5,1
316,1,2,G3,4,6,17500,Q5,1
317,2,3,G5,2,1,0,Q2,1
318,1,2,G5,2,1,560,Q3,1
319,1,4,G3,2,5,0,Q2,3
320,1,2,G5,2,4,3920,Q2,1
321,1,2,G1,3,6,0,Q3,1
322,1,4,G5,1,4,750,Q1,1
323,2,3,G5,1,6,18286,Q4,1
324,1,2,G4,5,6,1200,Q3,1
325,1,2,G5,2,2,1000,Q3,1
326,1,4,G5,1,3,0,Q3,1
327,1,2,G3,4,5,12400,Q3,1
328,1,2,G4,3,6,1700,Q4,2
329,2,2,G5,1,2,0,Q2,1
330,1,2,G4,2,5,7120,Q2,1
331,1,2,G4,2,4,0,Q3,1
332,2,3,G5,2,1,0,Q1,3
333,1,2,G5,2,2,0,Q4,1
334,2,3,G5,1,2,9800,Q2,1
335,1,2,G5,2,4,115,Q5,1
336,1,2,G4,4,6,24990,Q5,1
337,2,3,G5,1,4,14750,Q5,1
338,2,4,G5,1,1,0,Q1,3
339,1,2,G2,3,6,15000,Q4,3
340,1,4,G5,1,3,0,Q1,1
341,2,4,G5,1,4,0,Q1,1
342,1,4,G3,1,4,6500,Q1,1
343,1,2,G3,5,4,700,Q4,1
344,1,2,G5,6,4,0,Q4,1
345,2,3,G4,2,3,20870,Q3,1
346,2,3,G5,1,2,0,Q2,1
347,1,2,G5,2,4,3600,Q3,1
348,1,2,G5,3,2,356,Q2,1
349,1,3,G5,2,2,0,Q2,1
350,2,4,G3,3,4,13680,Q1,1
351,1,2,G4,3,6,0,Q4,1
352,1,2,G5,3,6,0,Q5,1
353,2,4,G2,1,4,0,Q2,1
354,1,2,G2,2,4,0,Q2,1
355,1,2,G3,3,5,3000,Q3,1
356,1,2,G5,2,6,0,Q5,1
357,1,2,G2,4,7,1200,Q3,3
358,1,2,G5,2,4,0,Q5,1
359,1,4,G3,1,4,0,Q1,3
360,1,2,G4,4,4,0,Q3,2
361,1,2,G4,2,4,15300,Q5,7
362,1,3,G5,1,4,0,Q2,1
363,1,2,G5,2,3,1000,Q4,1
364,1,2,G2,4,5,9000,Q5,1
365,2,4,G4,1,3,0,Q1,1
366,1,1,G5,1,2,0,Q1,1
367,1,2,G4,3,6,67800,Q5,1
368,2,3,G5,1,4,4500,Q4,1
369,2,2,G5,2,1,0,Q2,1
370,1,2,G5,3,6,3000,Q5,1
371,1,2,G5,2,7,8580,Q5,3
372,1,2,G2,3,7,11970,Q1,1
373,1,2,G3,4,5,0,Q4,2
374,1,2,G3,4,7,40540,Q5,1
375,2,3,G5,3,4,0,Q1,1
376,1,2,G3,4,7,10000,Q4,1
377,1,2,G5,2,4,0,Q5,4
378,1,2,G5,3,4,2800,Q5,3
379,1,2,G5,2,2,300,Q4,3
380,2,3,G5,5,2,0,Q2,1
381,2,3,G4,3,4,9895,Q1,1
382,2,3,G5,5,2,700,Q1,1
383,1,2,G4,4,6,3840,Q4,1
384,1,1,G2,1,4,132,Q1,1
385,1,2,G4,3,6,13700,Q5,1
386,2,1,G4,2,4,0,Q1,1
387,1,2,G5,2,1,0,Q3,1
388,1,2,G3,4,4,1665,Q2,3
389,1,4,G3,4,4,1530,Q4,1
390,1,2,G4,2,4,3200,Q3,1
391,2,2,G5,2,3,100,Q3,1
392,1,2,G4,4,6,8000,Q4,1
393,1,2,G4,3,4,14472,Q4,1
394,1,2,G5,2,4,0,Q4,1
395,1,1,G2,1,6,0,Q1,1
396,1,2,G2,3,6,0,Q4,2
397,1,2,G4,3,7,51000,Q5,1
398,1,4,G5,2,4,200,Q3,1
399,2,3,G5,1,1,0,Q1,1
400,2,4,G3,2,4,0,Q1,1
401,1,2,G5,2,4,17000,Q5,1
402,1,2,G3,5,4,700,Q3,3
403,1,1,G4,1,4,0,Q2,1
404,2,1,G3,1,4,3000,Q1,1
405,1,2,G5,2,2,0,Q4,1
406,2,3,G5,1,1,0,Q2,1
407,2,4,G5,2,4,2750,Q1,1
408,2,3,G5,1,2,500,Q3,1
409,1,2,G5,2,5,0,Q4,7
410,2,3,G5,1,1,1000,Q1,1
411,2,3,G5,1,1,0,Q1,1
412,2,3,G5,2,2,2800,Q1,1
413,2,3,G5,1,2,0,Q2,1
414,1,2,G4,2,4,30000,Q5,1
415,1,2,G4,4,6,4000,Q1,2
416,2,4,G2,1,1,237,Q1,1
417,1,2,G3,3,6,100,Q5,2
418,1,3,G5,1,6,0,Q2,1
419,1,2,G4,4,6,3689,Q3,1
420,2,1,G1,1,6,30,Q2,1
421,1,2,G5,2,4,1000,Q2,1
422,1,2,G3,2,4,5100,Q2,1
423,1,1,G3,2,4,1000,Q4,1
424,1,2,G4,3,4,0,Q5,1
425,1,2,G5,3,4,8000,Q3,1
426,1,2,G4,4,4,3430,Q2,2
427,1,2,G3,4,4,735,Q2,1
428,1,2,G4,4,6,16500,Q5,4
429,1,2,G3,6,7,53284,Q5,1
430,1,2,G5,2,2,200,Q4,3
431,1,2,G5,2,4,0,Q4,1
432,1,2,G4,4,4,0,Q2,3
433,1,2,G4,2,4,26330,Q3,1
434,1,1,G1,1,5,0,Q3,7
435,1,2,G3,4,4,0,Q5,1
436,1,1,G3,1,4,600,Q2,1
437,2,3,G5,1,3,160,Q2,1
438,1,2,G5,2,4,9000,Q2,1
439,1,2,G5,2,2,0,Q2,3
440,1,1,G4,1,6,0,Q2,1
441,1,2,G3,4,4,6500,Q4,1
442,1,2,G2,4,6,20400,Q4,4
443,1,2,G4,4,4,30100,Q4,2
444,2,3,G5,1,2,0,Q1,3
445,2,2,G4,3,6,36040,Q3,2
446,1,2,G4,6,4,15970,Q4,1
447,2,4,G3,2,5,16950,Q4,1
448,1,2,G3,3,3,0,Q1,1
449,2,2,G4,4,4,2500,Q4,1
450,1,2,G5,2,3,1500,Q4,1
451,1,2,G2,4,6,41000,Q4,4
452,1,2,G2,5,4,1800,Q1,1
453,2,3,G5,1,2,0,Q1,3
454,1,1,G4,1,3,0,Q5,1
455,1,4,G5,2,4,0,Q1,1
456,2,4,G2,2,4,0,Q1,3
457,2,3,G5,1,1,0,Q1,1
458,1,2,G2,4,5,4400,Q3,1
459,1,2,G2,4,4,1000,Q2,1
460,1,2,G3,5,4,13565,Q3,3
461,2,3,G5,1,2,2650,Q3,1
462,1,2,G4,4,6,20840,Q1,1
463,1,2,G5,2,2,0,Q3,3
464,1,2,G5,2,2,0,Q4,3
465,2,3,G5,1,1,0,Q1,1
466,1,2,G2,5,5,3760,Q3,1
467,1,2,G4,4,4,7000,Q2,1
468,1,2,G2,3,6,12200,Q3,2
469,1,2,G2,4,6,10550,Q4,1
470,1,2,G5,2,3,0,Q2,3
471,1,2,G4,4,6,15436,Q4,1
472,2,3,G5,1,2,0,Q3,1
473,1,2,G5,2,6,268,Q3,3
474,1,2,G5,2,4,0,Q2,3
475,1,2,G3,3,4,7500,Q2,1
476,1,2,G3,4,6,5000,Q4,1
477,2,1,G1,3,4,0,Q4,1
478,2,3,G5,1,1,0,Q2,3
479,2,1,G3,1,6,3500,Q2,1
480,2,1,G1,1,6,20,Q1,1
481,1,2,G5,2,3,100,Q2,3
482,2,1,G1,2,6,480,Q2,1
483,1,2,G4,3,4,0,Q4,1
484,1,2,G3,4,4,0,Q4,1
485,2,2,G5,3,4,11000,Q3,1
486,1,2,G5,2,4,200,Q5,3
487,2,3,G4,2,4,0,Q1,1
488,1,2,G2,3,4,0,Q1,1
489,1,2,G4,3,6,0,Q4,1
490,1,2,G5,2,2,0,Q1,2
491,1,2,G5,2,6,0,Q4,1
492,1,2,G2,3,4,22000,Q1,1
493,1,2,G4,2,6,15000,Q5,1
494,1,2,G5,2,3,0,Q3,3
495,2,3,G5,1,2,0,Q2,2
496,1,2,G3,4,4,5500,Q3,3
497,1,2,G4,3,4,0,Q4,1
498,2,3,G5,1,1,0,Q1,1
499,1,2,G5,3,2,0,Q1,1
500,1,2,G5,2,1,0,Q4,3
501,1,1,G2,1,5,13000,Q4,1
502,1,2,G2,4,4,4000,Q3,1
503,1,2,G5,2,4,0,Q1,1
504,1,4,G5,1,6,250,Q2,1
505,1,4,G3,1,4,200,Q1,3
506,1,3,G5,1,1,0,Q1,1
507,2,3,G5,1,2,0,Q3,3
508,1,2,G4,2,6,24000,Q3,1
509,1,2,G3,3,6,6565,Q4,1
510,2,1,G3,1,4,0,Q3,1
511,1,3,G5,1,4,90,Q1,1
512,1,2,G4,3,4,50,Q5,1
513,1,2,G2,4,5,10000,Q2,1
514,1,2,G5,2,2,0,Q4,3
515,2,3,G5,1,4,450,Q3,3
516,1,4,G5,1,3,7100,Q4,1
517,1,2,G5,2,5,900,Q5,1
518,1,1,G2,1,1,0,Q1,1
519,2,3,G5,1,2,0,Q1,1
520,1,2,G5,2,1,0,Q3,3
521,2,3,G4,2,4,6156,Q2,1
522,1,2,G3,6,4,8312,Q2,1
523,1,2,G3,5,4,4860,Q4,1
524,1,2,G3,4,5,1835,Q2,1
525,2,3,G5,1,3,0,Q3,1
526,1,4,G5,3,4,150,Q3,1
527,1,2,G5,2,2,0,Q2,3
528,1,2,G5,2,4,0,Q2,3
529,1,2,G3,5,4,10600,Q2,1
530,2,2,G4,4,3,1000,Q3,1
531,1,2,G3,4,6,39800,Q5,5
532,1,2,G5,2,2,0,Q3,3
533,1,4,G4,2,4,6000,Q4,3
534,2,1,G3,1,4,20,Q2,1
535,1,2,G5,3,2,0,Q2,1
536,1,2,G3,3,5,900,Q2,1
537,2,2,G3,5,5,12500,Q2,1
538,1,4,G5,1,4,0,Q1,3
539,1,2,G5,2,4,1300,Q5,1
540,1,2,G5,2,3,0,Q1,1
541,1,2,G3,7,4,11000,Q5,1
542,1,2,G2,4,6,9250,Q4,1
543,1,2,G2,4,6,11000,Q3,1
544,1,2,G4,5,6,3000,Q5,1
545,1,2,G5,2,3,0,Q4,1
546,1,2,G4,7,5,227000,Q5,1
547,1,2,G5,2,4,300,Q4,1
548,1,2,G5,2,4,100,Q5,1
549,1,2,G3,5,5,16000,Q3,1
550,1,2,G5,2,2,0,Q1,1
551,2,4,G4,1,3,15,Q1,1
552,1,2,G5,2,4,97600,Q1,1
553,1,2,G4,3,6,50,Q5,1
554,1,2,G5,2,4,100,Q5,1
555,1,1,G3,2,5,0,Q2,1
556,1,2,G2,4,7,21130,Q3,8
557,1,2,G5,2,2,300,Q1,1
558,2,4,G5,1,1,0,Q1,1
559,1,4,G5,1,4,0,Q1,1
560,1,2,G4,5,3,1200,Q2,1
561,1,2,G4,3,4,4350,Q4,1
562,1,2,G4,4,6,6945,Q2,1
563,1,2,G5,5,6,10000,Q5,1
564,1,1,G3,2,4,0,Q1,1
565,2,3,G5,1,2,0,Q2,1
566,1,2,G3,4,6,0,Q4,1
567,1,2,G3,3,5,1200,Q4,2
568,1,2,G3,5,4,7000,Q3,1
569,1,2,G5,2,2,0,Q5,1
570,2,4,G5,1,2,0,Q1,1
571,1,2,G4,4,6,0,Q4,3
572,1,2,G5,4,6,0,Q4,1
573,1,2,G2,3,5,6800,Q2,2
574,1,1,G1,1,6,3550,Q2,1
575,1,4,G4,1,3,1860,Q1,1
576,1,2,G1,4,4,400,Q1,1
577,1,2,G5,3,4,19666,Q2,3
578,1,2,G5,1,4,0,Q5,1
579,2,3,G5,1,1,0,Q1,1
580,1,2,G3,4,5,0,Q4,3
581,2,3,G5,2,1,0,Q1,1
582,1,2,G2,4,6,0,Q1,1
583,1,2,G4,4,4,7600,Q4,1
584,1,2,G4,4,6,2000,Q5,8
585,1,4,G3,2,4,1020,Q2,1
586,1,2,G3,4,4,0,Q4,1
587,1,2,G3,5,4,0,Q5,5
588,1,2,G4,3,3,0,Q2,3
589,2,3,G5,2,4,0,Q5,1
590,1,3,G4,1,4,0,Q1,1
591,1,2,G5,2,4,11560,Q2,1
592,1,2,G5,2,3,2000,Q1,1
593,1,2,G5,2,3,0,Q3,1
594,1,4,G4,1,6,0,Q1,1
595,1,2,G3,3,6,20000,Q4,1
596,2,3,G5,1,3,0,Q2,1
597,2,2,G3,2,6,0,Q4,1
598,2,3,G5,2,1,0,Q1,2
599,1,2,G3,5,6,2990,Q3,1
600,1,2,G5,2,4,2438,Q2,1
601,1,2,G4,4,7,3000,Q5,7
602,1,2,G5,2,2,0,Q3,3
603,2,2,G5,2,1,0,Q2,3
604,2,3,G5,1,2,0,Q1,1
605,2,3,G5,1,2,620,Q1,1
606,1,2,G3,4,7,30100,Q5,1
607,1,1,G1,1,6,500,Q1,1
608,2,3,G5,1,1,0,Q1,3
609,1,2,G5,2,4,400,Q2,3
610,1,4,G4,1,3,1960,Q1,1
611,1,2,G2,2,6,2399,Q2,1
612,2,3,G5,1,1,0,Q3,1
