id,edu,age,debt,equity,income,slack,cs
17100102,6,G2,12000,21800,5633,4076,2045
17100172,4,G1,400,220,1014,977,1560
17700101,6,G4,0,70278,6024,5463,6606
17700111,6,G2,29500,7084,2893,1871,2580
17700351,2,G5,0,4756,2721,2535,1046
17800301,4,G4,11120,31314,13577,10826,7940
17800341,6,G3,16124,22086,6084,5445,2689
17800381,2,G5,13100,56454,3459,2654,2308
17900151,3,G5,77000,117850,12045,10520,3110
17900161,1,G5,0,320,788,787,356
17900171,6,G4,9682,101448,10097,NA,5650
17900301,4,G1,6000,4405,2737,2236,1671
17900371,6,G4,42656,38764,6716,5085,3170
18000322,2,G5,0,1203,763,762,778
18000342,2,G5,1500,25750,3075,2884,740
18100122,5,G1,0,3166,2239,2083,1462
18100312,6,G3,17500,19550,6122,5062,4050
18100382,2,G5,23,61131,2212,2067,1030
18700101,4,G5,22600,158275,9270,7347,2840
18700111,4,G5,0,1700,1514,1514,1188
18700121,6,G5,4000,1076000,29924,21229,5600
18800161,6,G5,42500,452620,40625,28967,4250
18800181,7,G4,1000,44500,1513,1387,1080
18900121,4,G3,565,20562,4482,3439,3181
18900301,4,G5,3000,270040,11734,10940,3850
19000112,6,G5,0,134700,8638,7956,3600
19000132,6,G5,20000,264428,NA,13277,5040
19700171,6,G3,5500,205000,2020,919,2800
19800121,6,G5,0,103300,2437,2039,2600
19800161,4,G3,20000,12733,8419,6561,2542
19800171,4,G3,5000,6790,3034,2765,1890
19900101,4,G3,5700,60400,8067,6783,4600
20000222,6,G5,0,4570,737,694,667
20000282,4,G4,3000,8635,7452,6475,2587
20000332,3,G3,31320,18417,6042,4846,2455
20000352,7,G3,11100,11700,6911,5593,1380
20000362,2,G5,0,47330,2264,169,1275
20000372,5,G3,18300,16930,10404,8959,4800
20100312,6,G5,1600,62730,6567,5435,2868
20100322,6,G4,23500,62100,12234,10597,11217
20700271,6,G3,0,33257,5892,5272,2593
20700291,6,G5,0,45440,4722,3970,2864
20700341,6,G4,1200,35110,5218,4696,2326
20700381,4,G5,300,27172,6517,4781,3910
20800361,3,G5,13000,131860,5860,4058,3070
20900241,6,G3,11685,20895,5840,4717,3330
21000232,3,G5,0,38834,8536,7483,4072
21000302,5,G2,14672,9713,4856,4189,2400
21000372,1,G5,0,18670,1457,1444,980
21100242,6,G2,21900,26890,5229,3884,2110
21100272,2,G5,1000,14310,937,880,570
21100312,5,G2,7145,2013,2262,1629,1690
21100332,4,G5,0,9958,3948,3825,2836
21700321,4,G4,0,3128,2002,1847,1462
21700361,4,G5,0,7490,1786,1715,1490
21700371,3,G5,7050,43750,4013,3314,1420
21700391,6,G4,300,31086,6151,4991,3110
21800251,1,G5,0,20350,1096,1080,422
21800301,1,G5,0,3350,1090,1065,474
21800341,6,G3,11000,23006,11535,9262,4146
21800371,4,G5,0,34166,2283,2177,1567
21900231,4,G3,7510,NA,4583,3358,3465
21900281,5,G4,0,7789,7044,6147,4439
22000202,6,G2,3270,18602,8084,7115,2680
22000282,1,G5,0,20,660,659,406
22000302,4,G4,150,26408,8434,7529,4430
22100262,6,G1,0,731,1479,1297,1703
22100302,2,G5,1660,143990,3557,3276,3213
