V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164
2018,82700371,P,1147.409691,,2399.425053,G2,2,2,G1,G2,G2,G2,G2,3,1,G2,2,,,69,G5,7,G4,2,5,G4,G4,G2,G2,G2,Q1,,Q1,G1,Q3,,Q3,Q3,,Q3,22650,50,50,50,0,0,22600,22600,0,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,22650,984,0,0,23,463,498,961,983,648,300,144,0,72,24,60,48,649,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,0,0,,65,4,1
2018,82700381,P,827.5368059,,1671.090255,G2,2,1,G1,G2,G2,G2,G2,2,1,G1,1,,,73,G5,7,G4,3,4,G3,G3,G2,G1,G2,Q1,,Q1,G1,Q1,,Q1,Q1,,Q1,540,540,540,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,540,625,0,0,0,475,150,625,624,529,180,80,0,190,15,28,36,530,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,0,0,,65,5,4
2018,82800311,P,1039.754767,,2099.633571,G2,1,3,G2,G2,G2,G2,G2,5,1,G4,2,H,8,40,G3,1,G1,2,1,G1,G1,G2,G2,G1,Q4,,Q4,G4,Q3,,Q3,Q2,,Q2,18586,6836,6836,6836,0,0,11750,10000,10000,0,0,1750,1400,350,350,0,6000,6000,6000,6000,0,0,0,0,0,0,6000,0,0,0,0,,,,,,6000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,216,0,216,12586,5996,3583,2400,13,0,0,0,5223,2042,600,204,156,36,360,228,458,2815,773,51,386,120,0,216,,,,,,,,,,,,,,,,,,,,,,1,65,200,300,4,,,
2018,82800321,P,1088.078741,,2275.354139,G2,1,3,G2,G2,G2,G2,G2,6,1,G4,2,H,8,60,G5,4,G3,2,5,G4,G4,G3,G1,G1,Q2,,Q2,G3,Q2,,Q2,Q2,,Q2,15420,3050,3050,3050,0,0,12370,10500,0,10500,0,1870,870,1000,0,1000,4550,4550,4000,0,4000,0,0,0,0,0,4000,0,0,0,0,,,,,,0,4000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,500,50,0,0,0,245,200,45,10870,3117,0,3051,14,52,0,52,2465,1738,720,165,0,36,240,204,373,2390,652,7,260,40,300,45,,,,,,,,,,,,,,,,,,,,,,1,70,400,500,5,,,
2018,82800331,F,1355.986433,2712.820325,,G2,1,4,G2,G2,G2,G2,G2,6,1,G4,2,C,8,34,G2,1,G1,2,1,G1,G1,G2,G2,G1,Q5,Q5,,G6,Q5,Q5,,Q4,Q4,,84095,6540,6540,6540,0,0,77555,71000,45000,26000,0,6555,6300,255,255,0,33500,15500,13000,13000,0,0,0,0,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,0,13000,0,2500,0,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,0,2500,0,2500,0,0,0,0,18000,8300,8000,300,50595,12709,12683,0,26,0,0,0,10129,,,,,,,,,2580,2580,864,966,400,50,300,3,1,1,2,3,1,3,2,,1,,3,,2,,,1,20,,,1,,,,,,,,
2018,82800341,F,1255.804395,2407.524695,,G2,1,4,G2,G2,G2,G2,G2,6,1,G4,2,F,3,49,G3,1,G1,2,1,G1,G1,G3,G1,G1,Q3,Q3,,G3,Q4,Q4,,Q4,Q4,,52120,26120,26120,1120,25000,0,26000,26000,26000,0,0,0,0,0,0,0,10000,10000,10000,10000,0,0,0,0,0,0,10000,0,0,0,0,10000,0,0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42120,4873,2347,2500,26,0,0,0,3984,,,,,,,,,889,889,16,273,500,100,0,1,5,1,2,2,1,5,2,,2,,2,,2,,,2,,2,,1,,,,,,,,
2018,82800361,F,989.4754173,1958.958678,,G2,1,2,G2,G2,G2,G2,G2,4,1,G3,2,C,7,57,G4,1,G1,2,1,G1,G1,G1,G1,G1,Q2,Q2,,G3,Q1,Q1,,Q1,Q1,,6018,988,988,988,0,0,5030,4730,4000,730,0,300,300,0,0,0,2000,2000,2000,0,0,0,0,0,2000,0,0,0,2000,0,0,0,0,2000,0,0,2000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018,3330,3304,0,26,0,0,0,2983,,,,,,,,,347,347,68,237,30,12,0,3,2,3,2,1,1,5,4,,2,,3,,2,,,1,10,,,1,,,,,,,,
2018,82800371,P,814.8778483,,1645.527331,G2,2,1,G1,G2,G2,G2,G1,2,1,G1,1,,,74,G5,7,G4,3,1,G1,G1,G1,G2,G2,Q1,,Q1,G2,Q2,,Q2,Q2,,Q2,10215,200,200,200,0,0,10015,10000,10000,0,0,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,10215,1807,352,0,22,449,984,1433,1805,1194,360,129,0,649,10,24,22,1196,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,0,0,,73,3,1
2018,82800381,P,1191.240042,,2405.536057,G2,1,3,G2,G2,G2,G2,G2,1,,G1,2,,,79,G5,7,G4,2,1,G1,G1,G1,G1,G2,Q1,,Q1,G1,Q1,,Q1,Q1,,Q1,2300,300,300,300,0,0,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,2300,946,0,0,11,615,320,935,835,999,360,240,0,85,120,50,144,1110,111,3,78,30,0,0,,,,,,,,,,,,,,,,,,,,,,2,,0,0,,70,5,4
2018,82800391,F,933.6000688,1848.336931,,G2,2,1,G1,G2,G2,G2,G2,1,,G1,1,,,81,G5,7,G4,3,1,G1,G1,G1,G1,G2,Q1,Q1,,G1,Q1,Q1,,Q1,Q1,,604,25,25,25,0,0,579,579,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,451,0,0,18,373,60,433,430,,,,,,,,,21,21,5,0,10,6,0,1,4,3,2,2,2,,,4,2,,,,,,,,,,,,,,,,,,,
