Code,involve,exhaust,gender,age,money,partjob,gpa,circle
10063,3.25,2.25,1,24,3,2,4,0
10064,2.25,4,0,22,4,1,1,1
10065,5,2,1,25,8,1,5,1
10066,2.5,2.25,1,22,5,2,2,0
10067,3,2.5,0,22,6,1,3,0
10068,2.5,1.75,1,23,1,2,2,0
10069,1.5,2,1,23,2,2,3,0
10070,2,2.75,1,23,5,2,4,1
10071,2.5,2.5,0,22,4,1,4,0
10072,2.5,2.25,0,20,4,2,3,1
10073,2.5,3,1,20,5,2,4,1
10074,1.25,2,0,20,4,1,4,1
10075,2.5,1.75,0,20,4,2,4,1
10076,2,2,1,20,5,2,4,1
10077,2.25,2.5,0,21,5,2,3,0
10078,1.75,2.5,0,21,4,2,3,0
10079,1.75,2,0,21,4,2,3,0
10080,1.75,2,1,20,4,2,3,1
10081,2,2.5,0,20,4,2,3,1
10082,1.75,3.75,0,21,5,2,1,1
10083,1.5,2.75,0,21,4,1,2,0
10084,3.75,2.5,1,21,4,2,1,1
10085,3.25,2.25,1,25,7,2,4,1
10086,2.5,3.75,0,20,3,1,3,1
10087,2.5,2.75,1,19,5,2,1,1
10088,1.5,3,1,24,4,2,4,1
10089,3.5,4,1,20,5,2,1,0
10090,2.75,3.5,0,21,9,1,4,1
10091,2.75,2.75,1,25,6,1,3,0
10092,3.5,2.5,1,23,4,2,3,0
10093,3.5,2.5,1,22,3,2,4,0
10094,3.75,2.75,1,22,4,2,3,0
10095,3.25,2.75,1,21,4,2,3,0
10096,3.25,2.25,1,23,3,2,4,0
10097,3.75,3,1,22,4,2,2,1
10098,3.25,2.5,1,24,4,2,4,1
10099,3.5,2.5,1,23,3,2,3,0
10100,3.5,2.5,0,23,4,2,4,0
10101,2.75,2.5,0,22,4,2,4,1
10102,2,2.5,1,27,10,2,4,1
10103,1.75,2.75,1,27,6,2,4,1
10104,1.75,2.75,1,27,4,1,3,0
10105,3,3.5,1,27,4,1,2,0
10106,3,2.25,1,26,1,1,5,0
10107,2.5,3.5,0,25,5,1,2,0
10108,2.25,3.5,0,25,4,1,4,0
10109,1.75,3,0,25,2,2,2,0
10110,1.25,4,1,25,3,2,4,0
10111,2,3.25,0,23,1,2,4,0
10112,1.25,3.25,0,21,4,2,2,0
10113,3,3,0,21,2,2,3,1
10114,3.25,2.25,1,23,3,1,4,1
10115,3.5,2,0,20,3,1,3,1
10116,1,3.5,1,20,2,2,2,0
10117,2.5,2,1,24,4,2,4,0
10118,3.5,3.25,0,22,3,1,2,0
10119,2.5,2.25,1,19,3,2,3,1
10120,1.25,2.75,0,21,2,2,4,1
10121,3.75,2.5,1,23,5,1,4,0
10122,1,4.25,1,26,2,2,4,0
10123,4.5,4.25,1,27,3,1,4,1
10124,3,3,1,23,4,2,2,1
10125,3,3,1,23,5,2,3,1
10126,1.5,3.75,0,19,2,2,1,1
10127,1.5,2.5,1,19,3,1,2,0
10128,3.5,2.75,0,21,4,2,2,1
10129,3.25,3.25,1,25,2,2,2,0
10130,2,2.5,1,24,5,1,2,0
10131,2.5,3.5,1,23,2,2,1,1
10132,4,2.75,0,23,3,2,2,1
10133,2.5,4,1,25,4,1,3,0
10134,2.75,3,1,26,5,2,4,0
10135,4.75,3,1,22,5,1,4,1
10136,3,3.25,1,27,6,2,4,0
10137,2.75,3.25,1,24,4,2,4,1
10138,3.25,2.75,1,27,3,1,2,0
10139,2.25,3.25,0,23,4,2,3,1
10140,3,2.75,0,24,3,1,3,0
10141,3.75,2.5,1,21,5,2,4,0
10142,3.25,2.25,1,18,7,2,4,1
10143,3.25,2.75,1,19,1,2,2,1
10144,3,2.75,1,19,5,2,3,1
10145,1.5,2.25,0,19,3,2,4,1
10146,3.25,2.25,1,20,2,1,2,1
10147,2,2.25,0,19,3,1,4,1
10148,1.75,2,1,20,4,2,2,1
10149,3,3.5,0,19,3,2,1,0
10150,3,4,1,22,4,2,2,1
10151,2.25,3.75,0,20,5,1,1,1
10152,2.75,2.75,1,24,3,2,1,0
10153,1.75,3,1,25,4,2,3,0
10154,2,2.75,1,26,5,2,2,0
10155,4.5,2.5,1,20,4,1,2,1
10156,2.5,3,0,21,3,1,4,0
10157,2.25,2.25,1,20,9,2,3,1
10158,2.25,3.75,1,25,7,2,4,0
10159,2,1.75,1,25,5,2,3,0
10160,4.25,2,1,24,5,2,4,1
10161,3.5,2.5,1,25,4,2,2,0
10162,2,3,1,22,2,2,2,0
10163,3.25,2.5,1,22,3,2,2,1
